,Skew Angle,Slope Angle,Center of Mass x,Center of Mass y,Aspect Ratio,Entropy,ForgerID,OriginalID,Genuine
862,3,-12.9,91.9,216.9,1.797,0.3474,118,55,0
863,0,-15.9,110.25,194.6,1.729,0.2834,118,65,0
864,-3,-5.39,103.94,285,2.578,0.19,119,19,0
865,-4,-8.91,115.7,207.4,1.867,0.1957,119,24,0
866,-4,-19.53,82,239.1,1.294,0.2462,119,26,0
867,-5,-14.51,108.7,237.1,2.36,0.2284,119,63,0
868,-5,-12.37,111,187.8,1.169,0.2277,120,24,0
869,-5,-21.03,93.7,276,1.841,0.3718,120,32,0
870,-2,7.906,102.3,273.2,2.4,0.4246,120,34,0
871,-5,-16.66,101.44,218,2.111,0.2156,120,51,0
872,-5,0,84.94,194.4,-1.1455,0.3445,120,55,0
873,-3,0.8345,120.25,246,-1.062,0.5684,121,25,0
874,-5,0.6987,97,225.8,0.8496,0.4668,121,31,0
875,3,0.8013,129.6,263.2,-1.481,0.4082,121,40,0
876,-5,-7.4,100.6,204,2.527,0.3523,121,60,0
877,1,-11.4,104.56,201.5,1.934,0.2532,123,26,0
878,-4,-1.785,103.4,246.9,2.139,0.3928,123,36,0
879,-5,-9.055,95.8,263.2,2.775,0.253,123,37,0
880,-5,-13.2,98.1,169.2,1.923,0.1692,123,46,0
881,0,-6.15,121.75,243.5,2.549,0.2778,124,17,0
882,-4,-3.56,110.6,236.4,2.297,0.3665,124,38,0
883,-1,63.44,133.1,263.2,-0.005234,0.4114,124,54,0
884,-5,15.42,101.1,279,2.254,0.588,124,68,0
885,-4,-18.06,87.44,217.1,1.667,0.252,125,22,0
886,0,-10.555,105.1,180.6,2.082,0.3125,125,26,0
887,-2,-20.23,83.8,215.2,2.336,0.1715,125,50,0
888,-5,-22.45,103.44,247,2.309,0.267,125,58,0
889,-5,-17.17,87.56,191.4,2.264,0.1743,125,59,0
890,-1,-11.06,109.5,210.8,1.396,0.2162,126,23,0
891,-4,-19.61,89.94,221.4,2.613,0.1466,126,28,0
892,-5,-13.95,80.8,204.9,2.477,0.2404,126,50,0
893,-5,-22.22,101.4,226.1,1.495,0.2162,126,60,0
894,-4,-19.81,116.1,254.9,2.164,0.201,127,20,0
895,-5,-13.22,100.2,191.8,2.117,0.1648,127,22,0
896,0,-28.83,99.6,282.2,1.789,0.1416,127,58,0
897,-4,-13.95,103.7,295.8,2.44,0.1442,127,66,0
898,0,-29.88,81.94,189.9,1.624,0.2205,13,13,1
899,3,-5.23,130.5,250,0.732,0.2437,17,17,1
900,-5,-12.88,100.8,283.5,2.467,0.1126,18,18,1
901,4,-10.57,84,232.1,2.623,0.085,19,19,1
902,-2,-15.64,133,262,1.538,0.10364,20,20,1
903,-4,-3.465,109.44,173,2.129,0.2908,201,35,0
904,-5,3.014,110.4,197.6,-0.2937,0.4631,201,43,0
905,-4,-20.7,111.3,131,1.599,0.2443,201,62,0
906,-5,-17.84,90.5,256.2,2.045,0.1769,202,18,0
907,-1,-18.39,119.1,234.6,1.73,0.2189,202,53,0
908,-5,-19.28,112.06,190.4,2.465,0.3562,202,55,0
909,-5,-24.47,99,193.4,2.107,0.09125,203,13,0
910,-3,-11.36,140.2,171.9,2.246,0.0946,203,23,0
911,-1,-41.28,121.5,221.6,0.4248,0.172,203,29,0
912,1,0.5825,106.6,254.6,-1.513,0.541,203,33,0
913,-2,-17.05,89.06,214.9,1.9795,0.1669,203,64,0
914,-4,17.95,86.75,218.4,0.5537,0.298,204,13,0
915,-4,-2.297,94.56,237.4,1.661,0.2798,204,21,0
916,-5,-10.51,98.7,214.5,0.6357,0.349,204,42,0
917,5,2.98,103.44,253.5,1.892,0.3025,204,48,0
918,-4,-17.33,90.3,215.9,2.227,0.2566,204,50,0
919,-5,-16.69,95.6,241.5,2.264,0.1366,205,28,0
920,-5,-5.87,98.4,240.6,1.646,0.4585,205,33,0
921,-5,0.4407,98.4,219.8,-2.021,0.443,205,45,0
922,-1,-5.246,108.4,218.6,2.035,0.1791,205,67,0
923,-5,-31.94,117.75,140.2,1.114,0.1411,206,49,0
924,-5,-2.121,101,246.6,1.547,0.5,206,61,0
925,-5,1.637,91,217.5,1.077,0.361,206,65,0
926,1,-17.97,91.7,163.5,1.558,0.1989,207,52,0
927,-5,-13.47,140,220.5,2.533,0.1194,207,53,0
928,-2,11.83,138.5,276.2,1.871,0.4502,207,54,0
929,-3,-8.65,110.75,222.5,2.383,0.2317,208,22,0
930,-1,13.62,124,241.1,0.6562,0.3835,208,37,0
931,-5,-31.16,135.5,241,0.665,0.306,208,54,0
932,-1,-2.178,107.3,209.2,1.772,0.2666,208,57,0
933,-4,-19.3,84.25,239.1,2.432,0.2637,21,21,1
934,0,-23.27,104.1,190.5,1.718,0.1272,210,49,0
935,-5,-28.73,100.5,224.1,0.689,0.342,210,52,0
936,-5,-2.219,103.5,187.9,-1.464,0.3909,210,57,0
937,3,-1.966,122.9,241.9,2.24,0.2805,211,17,0
938,-4,-16.17,88.3,258.5,2.404,0.1396,211,21,0
939,-5,-1.931,103.44,181.2,2.047,0.3003,211,43,0
940,-5,-3.795,87.3,230.2,2.11,0.4604,211,44,0
941,-5,0.737,86.56,280,-1.604,0.4158,211,66,0
942,-5,-9.44,91.94,285.8,1.933,0.2664,212,27,0
943,-2,-24.44,82.8,275.2,1.918,0.1464,212,28,0
944,-2,-29.02,106.5,245.6,1.784,0.1273,212,47,0
945,-1,-42.97,89.2,272,0.9697,0.0936,212,66,0
946,-4,-36.56,79,239.6,0.9536,0.08826,212,67,0
947,-5,-7.156,125.3,210.6,1.086,0.2896,213,20,0
948,-5,4.02,109.56,207,2.262,0.531,213,30,0
949,5,9.664,98.1,221.4,1.175,0.61,213,33,0
950,-5,-12.055,91.7,246.8,1.456,0.3652,213,38,0
951,-5,-14.65,98.75,231.6,1.942,0.1091,214,22,0
952,-4,-55.5,87,259.2,0.5293,0.1984,214,37,0
953,3,-13.85,126.7,257.2,1.922,0.2421,214,54,0
954,-5,-12.68,100.2,234.1,2.416,0.2786,22,22,1
955,0,-6.37,123.6,183.5,1.9795,0.2065,23,23,1
956,-4,-10.95,128.1,121.9,1.74,0.1812,24,24,1
957,1,0.625,114.4,232,-1.418,0.6416,25,25,1
958,-4,-7.67,103.75,154.5,1.539,0.2366,26,26,1
959,-5,-19.8,100.75,269.2,1.995,0.3179,27,27,1
960,-4,-19.42,87.2,250.8,2.5,0.1438,28,28,1
961,3,-7.547,104.8,230.8,1.975,0.1965,29,29,1
962,3,-13.62,88.2,148,1.83,0.4976,30,30,1
963,-5,-5.586,97.6,209.8,1.415,0.544,31,31,1
964,0,-15.11,88.1,292.2,1.036,0.5273,32,32,1
965,0,19.88,104.4,234.5,1.098,0.626,33,33,1
966,-5,-45.97,107.3,254.6,0.3025,0.3809,34,34,1
967,0,18.98,84.4,226.9,1.938,0.39,35,35,1
968,-3,-6.367,110.6,244.5,2.309,0.4128,36,36,1
969,-5,-8.84,103.3,237.2,2.252,0.4028,37,37,1
970,0,-53.5,95.3,248,0.3794,0.2734,38,38,1
971,-5,0.3486,115.75,213.6,-2.527,0.4924,39,39,1
972,-3,0.7344,124.44,237,-1.2,0.3855,40,40,1
973,1,-13.68,93.4,254.6,2.527,0.4253,41,41,1
974,-4,-17.16,102.56,195.6,2.375,0.1588,42,42,1
975,-5,-21.17,101.94,222.8,1.396,0.57,43,43,1
976,-1,-10.41,105.06,215.8,2.412,0.527,44,44,1
977,-5,-2.256,119.25,212.1,1.692,0.375,45,45,1
978,-3,-14.164,97.25,170,2.164,0.3027,46,46,1
979,-1,22.45,104,210,0.6206,0.268,47,47,1
980,-2,-6.484,97.8,246.1,0.907,0.3403,48,48,1
981,4,-27.9,119.5,262,1.888,0.04596,49,49,1
982,-4,-21.03,76.94,200.8,2.072,0.1482,50,50,1
983,-5,-23.81,116.4,201.9,2.18,0.02162,51,51,1
984,-5,-12.94,103.8,187,1.553,0.269,52,52,1
985,-5,-20.53,117.1,222.9,1.164,0.1876,53,53,1
986,1,-3.496,138.8,240.2,2.506,0.501,54,54,1
987,-3,-24.31,108.3,161.4,1.593,0.289,55,55,1
988,-1,-21.44,95.06,281,2.547,0.2037,56,56,1
989,-1,-0.9688,117.9,175.9,2.135,0.3792,57,57,1
990,-5,-28.73,120.56,255.5,1.005,0.3047,58,58,1
991,-5,-11,108.56,176.6,1.82,0.2747,59,59,1
992,-3,-18.88,104.9,189.2,2.271,0.3147,60,60,1
993,0,7.54,120,237.5,0.712,0.514,61,61,1
994,2,-26.77,96.25,173.6,1.77,0.13,62,62,1
995,1,-13.18,96.7,245.1,1.596,0.194,63,63,1
996,-5,-17.39,77.3,202.9,2.457,0.1803,64,64,1
997,5,-15.625,90.5,217,1.467,0.3389,65,65,1
998,-5,-51.66,110.56,279.2,0.523,0.1897,66,66,1
999,-4,-29,84.94,223.2,1.592,0.1326,67,67,1
1000,-4,0.432,118.4,276.5,-2.062,0.583,68,68,1
1001,3,-18.06,82.75,220.1,2.807,0.0732,69,69,1
1002,-1,-20.39,104.5,252.1,1.793,0.2009,101,20,0
1003,-3,-20.55,95.4,248,2.49,0.3828,101,27,0
1004,-4,-13.35,109.75,223.9,0.605,0.379,101,38,0
1005,-3,-19.14,92.94,250.9,1.484,0.27,101,66,0
1006,-5,-15.414,115.5,216.4,2.492,0.2876,102,24,0
1007,-3,-24.44,106.6,222.1,-0.0564,0.4539,102,39,0
1008,5,1.559,107.8,253.6,-0.7617,0.558,102,54,0
1009,-4,-9.56,116.06,224.1,1.469,0.4438,102,61,0
1010,-5,-20.72,91.9,256.8,1.451,0.3682,103,31,0
1011,-5,-15.44,92.44,243.4,2.44,0.282,103,34,0
1012,-3,9,100.1,206.8,2.17,0.3828,103,35,0
1013,-4,16.8,108.75,237.2,1.656,0.4204,103,44,0
1014,-5,-51.03,116.6,224.9,0.373,0.2683,104,29,0
1015,-4,-9.37,81.7,232.2,1.95,0.2433,104,51,0
1016,-4,-14.73,104.56,232.2,1.902,0.187,104,59,0
1017,0,-18.06,105.8,219.8,1.667,0.1665,104,63,0
1018,-5,-16.73,117.7,209.9,1.518,0.1989,105,20,0
1019,-4,0.4983,78.9,235.6,-1.787,0.327,105,41,0
1020,-3,-19.6,88.4,213,2.035,0.2195,105,56,0
1021,-2,-13.65,98.7,246.5,2.133,0.3203,105,64,0
1022,-3,-15.14,104.2,232.9,1.989,0.178,106,18,0
1023,-3,-22.17,88.1,241.4,0.9434,0.2136,106,48,0
1024,1,-11.11,115.56,211.4,1.385,0.1724,106,52,0
1025,-5,-15.375,77.6,204,2.475,0.2385,106,69,0
1026,-5,0.1917,114.7,243.4,1.558,0.2245,107,17,0
1027,-5,-22.2,96.56,239.5,1.775,0.2006,107,42,0
1028,-5,-20.12,106.8,123.25,1.891,0.2239,107,46,0
1029,-4,-12.914,119.06,229.9,1.046,0.1921,107,53,0
1030,3,1.023,115.44,199.1,-0.866,0.4253,108,39,0
1031,-4,-25.42,111.56,177.1,1.247,0.3171,108,46,0
1032,-4,-0.8457,108.2,260.5,1.39,0.2373,108,63,0
1033,-2,-10.93,98.94,217.6,2.098,0.2363,108,69,0
1034,-5,-17,89.75,221,1.97,0.314,109,30,0
1035,-5,-76.5,114.7,251.6,0.1641,0.3643,109,36,0
1036,-4,-11.86,109.56,178.4,1.636,0.2339,109,52,0
1037,-3,-34.12,116.75,258.5,0.894,0.27,109,58,0
1038,0,-13.516,106.8,197.5,2.133,0.3071,109,62,0
1039,-4,-18.38,114.56,203.1,1.636,0.2202,110,21,0
1040,-5,-16.12,86.94,231.9,1.349,0.317,110,34,0
1041,1,-23.94,115.2,227.8,1.098,0.1455,110,58,0
1042,-5,-11.98,118.1,256,0.3384,0.3933,111,43,0
1043,-5,3.79,110.9,215.8,1.549,0.2705,111,45,0
1044,-5,-5.47,118,237.8,2.41,0.1364,111,60,0
1045,-1,-2.986,95.7,207.6,2.262,0.3506,111,69,0
1046,-5,-1.114,120.8,242.2,1.312,0.1781,112,18,0
1047,-4,-14.164,89.7,257.5,2.21,0.4163,112,32,0
1048,0,-23.45,91.25,237.6,1.631,0.4976,112,33,0
1049,-5,-11.766,113.44,195.1,1.36,0.2812,112,44,0
1050,-2,-33.03,103.6,229.4,0.3093,0.4177,112,61,0
1051,-5,-24.83,96.9,227.2,1.66,0.3167,113,13,0
1052,-4,0.467,103.3,247.5,-1.887,0.3176,113,39,0
1053,-1,-14.336,93.94,237.6,1.385,0.287,113,47,0
1054,-5,-12.84,105.6,277.5,1.6875,0.3142,113,68,0
1055,-4,0,90.9,217.6,-1.661,0.4814,114,30,0
1056,-2,31.4,101.8,248,0.5825,0.4226,114,37,0
1057,-2,0.895,112.8,222.2,-0.9844,0.409,114,40,0
1058,-4,-0.924,89.7,195.2,1.271,0.2786,114,47,0
1059,1,-15.28,87.56,204,1.82,0.2046,114,49,0
1060,-2,-8.27,98.7,253.8,2.55,0.11316,115,19,0
1061,-4,-6.395,107,256,1.831,0.1804,115,29,0
1062,0,-14.04,100.94,203,-0.02051,0.3276,115,35,0
1063,-5,-10.336,110.8,216.9,0.867,0.1842,115,53,0
1064,-2,-7.746,116.7,252.2,1.289,0.278,115,56,0
1065,-3,0,123.5,243.8,0.877,0.2664,116,19,0
1066,0,-54.78,116.9,253.1,0.1837,0.472,116,25,0
1067,-4,-11.54,97.56,203.4,2.21,0.267,116,41,0
1068,3,-11.35,95.25,257,1.232,0.3125,116,45,0
1069,-4,-19.55,92.7,160.6,1.104,0.229,116,62,0
1070,-1,-20.45,104.4,235.4,2.223,0.2133,117,20,0
1071,-2,-21.64,97.94,269,1.995,0.3994,117,32,0
1072,-5,-4.734,85.6,210.8,2.428,0.3723,117,41,0
1073,-5,1.701,93.7,174.5,-0.5205,0.3418,117,57,0
1074,-5,-19.88,117.8,233.9,1.759,0.277,118,36,0
1075,-4,-29.5,105.25,185.1,1.057,0.1632,118,42,0
1076,0,-9.53,84.8,230,1.995,0.2448,118,55,0
1077,-3,-13.19,91.8,218,2.297,0.2065,118,65,0
1078,2,-26.3,105.75,283.8,0.912,0.2484,119,19,0
1079,-4,-12.01,131.1,219.6,2.436,0.1649,119,24,0
1080,-3,-24.44,78.5,186.2,1.907,0.1921,119,26,0
1081,-1,0.639,104.6,255.1,-1.387,0.2668,119,63,0
1082,-5,-19.12,89.2,191.8,2.445,0.2693,120,24,0
1083,-2,-16.22,90,266,2.107,0.3738,120,32,0
1084,-2,-5.293,91.75,255.6,2.379,0.3318,120,34,0
1085,-5,-10.945,94.56,288,2.64,0.2402,120,51,0
1086,0,0,105.94,200,-1.382,0.361,120,55,0
1087,2,2.482,110.5,249.5,1.793,0.5938,121,25,0
1088,-5,7.625,106.44,238,0.655,0.4802,121,31,0
1089,-1,1.001,113.25,244,-1.205,0.396,121,40,0
1090,-5,-4.184,97.2,197.2,2.523,0.332,121,60,0
1091,-5,-14.21,114.94,189.4,2.082,0.2185,123,26,0
1092,-5,-6.25,102.3,238.2,2.482,0.3657,123,36,0
1093,-5,-0.7183,104.6,260.2,1.67,0.2942,123,37,0
1094,-3,-10.48,94.94,156.2,1.214,0.2156,123,46,0
1095,-2,-8.66,129.4,238.1,1.43,0.2922,124,17,0
1096,-5,0.5303,96.44,234.8,-1.661,0.3555,124,38,0
1097,1,26.56,115.3,261.2,-0.01036,0.4856,124,54,0
1098,-1,13.37,87.5,271.5,2.28,0.532,124,68,0
1099,4,-16.39,94.94,197,2.441,0.2153,125,22,0
1100,0,-10.74,95.1,173.8,2.041,0.25,125,26,0
1101,-4,-11.8,101.56,208.4,1.6455,0.2498,125,50,0
1102,-3,-24.05,105.1,250,2.207,0.1604,125,58,0
1103,5,-8.17,94.25,210.8,1.893,0.2233,125,59,0
1104,-5,-13.195,125,182,1.495,0.1974,126,23,0
1105,-5,-14.96,111.4,217.9,2.303,0.1566,126,28,0
1106,-3,-10.29,89.06,190.9,1.667,0.2644,126,50,0
1107,5,-15.586,85.56,243.9,2.064,0.1605,126,60,0
1108,-4,-28.86,108.06,226.2,1.154,0.2659,127,20,0
1109,-1,-11.984,92.25,204.4,2.006,0.106,127,22,0
1110,-5,-20.36,104.8,292.2,1.819,0.1925,127,58,0
1111,-2,0.4583,90.3,305.5,-1.923,0.2344,127,66,0
1112,2,-21.11,106.3,198.9,1.779,0.2354,13,13,1
1113,-2,-8.67,123.6,246.4,2.23,0.2524,17,17,1
1114,-5,-16.39,82.8,292.5,2.465,0.06335,18,18,1
1115,-5,-17.38,88.6,243.4,2.56,0.08435,19,19,1
1116,-2,-9.03,137.4,246.2,1.766,0.1038,20,20,1
1117,-4,-6.734,111.56,171.8,2.05,0.296,201,35,0
1118,-3,3.252,105.1,195.9,-0.456,0.3755,201,43,0
1119,4,-11.08,108.56,158.6,2.41,0.2734,201,62,0
1120,-5,-18.39,87.3,277.8,2.281,0.1487,202,18,0
1121,2,-40.94,98.9,232.9,0.6304,0.1862,202,53,0
1122,-1,-19.9,120.1,190.5,1.841,0.2937,202,55,0
1123,-5,-23.11,89.7,199.4,1.995,0.1958,203,13,0
1124,-2,-8.664,141.9,167.2,2.39,0.1466,203,23,0
1125,-2,-27.38,122.3,217.6,0.4358,0.1697,203,29,0
1126,1,4.332,94.9,245,1.0205,0.5195,203,33,0
1127,2,-14.97,92.25,195.8,2.514,0.2039,203,64,0
1128,-5,-9.695,90.7,210.1,1.23,0.2864,204,13,0
1129,-4,-7.535,83.3,252.2,1.938,0.2428,204,21,0
1130,-5,-22.25,107.4,185,1.448,0.3433,204,42,0
1131,-1,4.844,97.8,241.9,1.815,0.305,204,48,0
1132,-4,-16.86,93.25,220.8,2.264,0.2673,204,50,0
1133,-5,-16.62,96.44,237,1.82,0.1617,205,28,0
1134,-2,-4.098,99.56,249.9,1.582,0.567,205,33,0
1135,-5,-4.66,118.9,210.6,0.6924,0.4238,205,45,0
1136,5,-17.36,91.3,268.8,0.577,0.1693,205,67,0
1137,-5,-31.03,110.25,137.1,0.7114,0.136,206,49,0
1138,-5,-3.254,118.5,248.6,1.541,0.522,206,61,0
1139,-2,-13.99,94,224.5,1.667,0.3093,206,65,0
1140,2,-16.67,100.4,183.5,1.261,0.1598,207,52,0
1141,-3,-12.82,140,191.5,2.117,0.0919,207,53,0
1142,0,-0.2852,126,262.8,1.031,0.3765,207,54,0
1143,-3,-8.85,116.9,244.5,2.436,0.1938,208,22,0
1144,-1,-11.5,100.6,243.5,1.519,0.319,208,37,0
1145,1,15.375,125.75,266.5,0.8203,0.3906,208,54,0
1146,0,18.02,124.9,196.1,-1.062,0.3523,208,57,0
1147,-4,-19.8,84.3,244.1,2.455,0.1953,21,21,1
1148,0,-20.52,111.3,175.9,1.623,0.0916,210,49,0
1149,-5,-11.734,105.1,223.8,2.295,0.3452,210,52,0
1150,-1,-2.46,101.7,183.1,-1.827,0.3293,210,57,0
1151,-4,-1.848,111.1,247.9,1.113,0.325,211,17,0
1152,-5,-14.27,61.53,257.2,2.348,0.169,211,21,0
1153,-4,-12.09,94.06,202.5,2.154,0.3765,211,43,0
1154,3,0.982,80.4,240.1,-0.8975,0.4934,211,44,0
1155,-2,-12.53,102.06,239.9,-0.04614,0.3286,211,66,0
1156,-3,-13.7,111.4,288.2,1.67,0.3457,212,27,0
1157,-3,-19.12,100.3,245.8,2.383,0.1234,212,28,0
1158,-5,-13.29,110.7,246.2,1.768,0.1053,212,47,0
1159,-1,-31.66,112.4,239.9,1.145,0.1095,212,66,0
1160,-5,-34.97,87,244.9,1.102,0.0682,212,67,0
1161,2,-13.95,115.2,218.1,1.586,0.2244,213,20,0
1162,-5,-45,107.8,189.1,0.2974,0.4478,213,30,0
1163,1,19.31,106.8,226.2,0.4973,0.658,213,33,0
1164,-2,-13.77,104.3,252.2,2.344,0.287,213,38,0
1165,-4,-20.61,79.06,256.2,2.113,0.0944,214,22,0
1166,-4,-56.53,91,247.2,0.4167,0.2345,214,37,0
1167,-1,-12.96,129.2,255.5,1.738,0.2473,214,54,0
1168,4,-14.48,93.3,213.1,2.205,0.2415,22,22,1
1169,-5,-4.227,132.2,183.4,2.176,0.1674,23,23,1
1170,-5,-12.01,113.2,88.25,2.268,0.12335,24,24,1
1171,-2,1.423,116.3,248.2,-0.83,0.739,25,25,1
1172,-5,-4.355,109.8,171.2,2.531,0.2551,26,26,1
1173,-5,-21.4,84.3,248.8,2.354,0.2307,27,27,1
1174,-2,-20.88,86.5,255.8,2.45,0.182,28,28,1
1175,-3,-8.81,94.2,220,1.984,0.2355,29,29,1
1176,-5,1.282,98.2,178.9,-0.687,0.5186,30,30,1
1177,4,-19.7,81.8,291.2,2.516,0.11395,31,31,1
1178,0,-19.66,104.75,267.8,0.933,0.415,32,32,1
1179,0,5.43,102.75,236.6,2.482,0.647,33,33,1
1180,-5,-8.84,99.7,211.9,1.779,0.3687,34,34,1
1181,0,19,105.25,216.4,2.025,0.3713,35,35,1
1182,-4,-15.93,98.8,247.5,2.246,0.2534,36,36,1
1183,-4,7.793,113.25,248.9,0.5024,0.4011,37,37,1
1184,-1,-17.12,101.94,225,2.031,0.3164,38,38,1
1185,-4,0,105.3,225.4,-2.482,0.4473,39,39,1
1186,4,0.924,110.94,224,-0.9536,0.4639,40,40,1
1187,2,-12.05,96,275,2.535,0.4526,41,41,1
1188,5,-22.17,115.44,179.1,2.453,0.1471,42,42,1
1189,-2,-19.42,112.44,190.2,2.271,0.3489,43,43,1
1190,-2,-7.05,104,208.4,1.032,0.4197,44,44,1
1191,-5,-16.22,111.1,226.5,0.9795,0.4253,45,45,1
1192,-5,-16.17,101.7,183.4,1.503,0.3484,46,46,1
1193,2,-13.195,90.4,231.1,2.145,0.245,47,47,1
1194,-3,-12.625,115.7,244.6,0.9897,0.2593,48,48,1
1195,-5,-15.914,121.8,217.2,1.1875,0.05527,49,49,1
1196,3,-23.48,84.8,202.1,1.87,0.1592,50,50,1
1197,-5,-27.42,104.94,220.5,1.503,0.06476,51,51,1
1198,2,-14.38,101.25,187.8,1.579,0.231,52,52,1
1199,-4,-37.97,101.4,200.6,0.791,0.2206,53,53,1
1200,-4,-2.48,136.4,247.6,1.53,0.3677,54,54,1
1201,2,-8.6,114.5,194.9,2.492,0.4158,55,55,1
1202,-4,-21.73,103.7,283.8,2.508,0.2433,56,56,1
1203,-3,0,104.9,157.6,-0.359,0.396,57,57,1
1204,-3,-24.9,103.2,243.6,1.349,0.2766,58,58,1
1205,-2,-18.81,99.44,179.1,1.897,0.1754,59,59,1
1206,-4,-27.31,106,193.1,1.729,0.223,60,60,1
1207,-2,-5.207,124.3,224,2.53,0.532,61,61,1
1208,-2,-22.45,97.1,199.2,2.305,0.1079,62,62,1
1209,0,-24.53,101.9,258.5,1.18,0.1935,63,63,1
1210,0,-14.15,83.8,226.9,2.45,0.2106,64,64,1
1211,-5,-22.06,91.56,160.2,2.379,0.2695,65,65,1
1212,-5,-80.3,116.94,289,0.12305,0.1475,66,66,1
1213,-5,-28.02,76.94,183,1.741,0.0712,67,67,1
1214,0,0.4192,126.06,279.8,-2.135,0.5767,68,68,1
1215,-5,-15.16,93.3,195.6,2.111,0.1143,69,69,1
1216,0,0.414,109.3,251.4,-2.129,0.701,25,25,1
1217,-4,-14.805,105.06,170.9,2.1,0.1953,26,26,1
1218,-5,-20.53,92.8,250,2.234,0.2446,27,27,1
1219,-4,-19.7,73.9,256.8,2.729,0.1417,28,28,1
1220,-2,-14.44,97.6,229.6,1.902,0.2756,29,29,1
1221,-4,-23.2,87.4,160.1,0.1083,0.446,30,30,1
1222,-5,-5.957,99.44,229,1.523,0.4802,31,31,1
1223,2,-27.19,86.4,262.8,0.9385,0.4062,32,32,1
1224,1,1.255,115.9,212.4,-0.7026,0.5244,33,33,1
1225,-5,0.516,98,216.8,-1.699,0.4087,34,34,1
1226,-5,13.71,108.44,197,2.111,0.366,35,35,1
1227,-2,-19.97,80.44,228.8,2.498,0.3032,36,36,1
1228,-4,-5.676,96.3,266.8,0.886,0.3794,37,37,1
1229,0,-42.66,96.56,225,0.6416,0.3142,38,38,1
1230,-4,0.3516,114.25,235.6,-2.494,0.4702,39,39,1
1231,-5,1.163,121,228.4,-1.016,0.384,40,40,1
1232,-1,0.5615,102.44,264.5,-2.104,0.374,41,41,1
1233,-4,-22.2,106.75,186.1,2.436,0.1073,42,42,1
1234,-5,-24.2,96.2,218,1.267,0.4797,43,43,1
1235,-5,2.121,94.25,225.2,-0.5596,0.5054,44,44,1
1236,-5,-24.33,115.4,231.9,1.186,0.373,45,45,1
1237,-4,-9.09,96.7,180,2.21,0.3215,46,46,1
1238,-5,-9.73,88.44,221.1,1.436,0.2898,47,47,1
1239,-3,9.875,94.4,243.9,1.866,0.3137,48,48,1
1240,-5,-19.02,106.6,202.5,1.51,0.09247,49,49,1
1241,-5,-17.72,88.7,213,2.104,0.1526,50,50,1
1242,-4,-19.77,106,197.2,1.951,0.021,51,51,1
1243,-5,-21.42,105.6,187.8,1.587,0.2705,52,52,1
1244,-4,-24.84,121.4,198.2,1.102,0.169,53,53,1
1245,3,9.945,116.8,304,2.37,0.3723,54,54,1
1246,-5,-23.83,124.06,166.6,2.24,0.2815,55,55,1
1247,5,-22.28,102.56,263.5,2.291,0.2686,56,56,1
1248,-5,-5.71,110.44,174,-1.614,0.389,57,57,1
1249,-5,-16.23,111.75,255.2,1.866,0.2993,58,58,1
1250,-1,-16.8,103.5,178.8,1.751,0.1953,59,59,1
1251,-5,-12.99,108.4,220.5,2.533,0.2286,60,60,1
1252,-4,4.523,117.6,227.8,0.724,0.4995,61,61,1
1253,3,-23.25,114.5,216.9,2.328,0.03088,62,62,1
1254,2,-7.773,94.3,232.9,1.615,0.179,63,63,1
1255,-3,-27.52,87.44,216.1,1.23,0.2554,64,64,1
1256,-1,-21.61,88.6,178.2,2.047,0.2642,65,65,1
1257,-5,-76.9,107.6,305.8,0.1589,0.2316,66,66,1
1258,-1,-32.03,89.06,200.5,1.583,0.0483,67,67,1
1259,0,-6.59,122.5,275,1.57,0.634,68,68,1
1260,-2,-18.16,78.2,174,2.498,0.11774,69,69,1
1261,-4,-28.12,89.1,212.2,1.554,0.2134,13,13,1
1262,-3,-4.31,122.5,266,2.49,0.2471,17,17,1
1263,-3,-16.28,90.6,294.8,2.477,0.1191,18,18,1
1264,-4,-10.81,82,229.6,2.719,0.0866,19,19,1
1265,-5,-12.26,133,254,1.804,0.1104,20,20,1
1266,-5,-20.97,88.75,245.5,2.49,0.2769,21,21,1
1267,-4,-13.984,96.8,238.2,2.533,0.2185,22,22,1
1268,-5,-15.15,110.2,163.8,1.874,0.1586,23,23,1
1269,-3,-18.11,107.56,123.5,2.455,0.1581,24,24,1
1270,5,0.767,130.1,243.8,-1.148,0.6094,25,25,1
1271,-3,-14.74,111.2,161.8,0.1086,0.2788,26,26,1
1272,-5,-19.6,92.1,256.8,2.277,0.258,27,27,1
1273,-3,-15.31,83.6,285,2.516,0.1925,28,28,1
1274,-5,-8.984,94.4,214.1,2.4,0.1975,29,29,1
1275,3,-8.336,113.25,140.4,1.784,0.3364,30,30,1
1276,5,-16.11,104.4,272.2,2.502,0.3977,31,31,1
1277,4,-19.86,100.1,274.5,1.021,0.3757,32,32,1
1278,0,-30.9,108.06,198.6,0.7793,0.559,33,33,1
1279,-3,-8.84,102.4,268.5,2.705,0.2732,34,34,1
1280,4,-26.56,106.6,226.2,-0.01031,0.385,35,35,1
1281,4,-10.98,119.94,225.8,2.54,0.3428,36,36,1
1282,-4,-5.836,114.44,248.6,0.7134,0.503,37,37,1
1283,-4,-40.78,91.3,233.9,0.559,0.3013,38,38,1
1284,-5,0.353,104.3,224.6,-2.484,0.5674,39,39,1
1285,-2,-14.04,119.75,227.9,-0.02051,0.4045,40,40,1
